demo_id,domain,status,mode,returncode,seconds,code_sha256,stdout_path,stderr_path,stdout_sha256,stderr_sha256,notes
33,standard_model,PASS,cert,0,0.575674,33413bbb5d92dc70572d72e928f9adf6e165b493a74ed01da1bb19e1361460af,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-33-first-principles-standard-model-sm28-closure.err.txt,e99729564a0915a259accc26d954a8893e430a92ebd9296f2122445d003a5428,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
34,bridge,PASS,run,0,0.691429,396c4588e85de170a7ea898ac1311b1f09ae7cef7024cc8f619ccb82cc00de1e,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/bridge__demo-34-omega-sm-master-flagship-v1.err.txt,14e58a8c2b0b6fb9fea1e172a91f96cd3ebf4101c7553a735ef9082eac959573,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
36,cosmo,PASS,run,0,18.310777,be1384b930644f1d3e142422a1603811e2363014c4824850de0b205d4519bc8f,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/cosmo__demo-36-big-bang-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/cosmo__demo-36-big-bang-master-flagship.err.txt,8e9d646ab60125a7957e3cd2804a21179de4406bdf3e8f2c628cfe89742109b4,8a127c70176f7aaf960b1d05e9a2d7faa5ada4d4a75b14b935cc1d256a2e6fd4,
37,standard_model,PASS,run,0,0.22839,2278243c792ac568e606e097da916f958d26486f4c96367cef7bba5914aac20b,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-37-math-sm-master-flagship.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-37-math-sm-master-flagship.err.txt,72dcaf31885d274ff8b9e9cdb6214c431d20b2a9f998ce9eaa5bd2c1c31501c4,fa7469ec28d85a25f1673d080d3e681cf07623cdbb3f031dcdbe5bf731de5745,
39,cosmo,PASS,run,0,0.312927,e72e7790657950b2f91ec38c3a9014394a10ed5ad0d48ede23e29a124edf1b64,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/cosmo__demo-39-bb-a2.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/cosmo__demo-39-bb-a2.err.txt,c49f907f5e8817c9694626a84a29dd5600dd5942caedbaf85b983f0dfd745ba0,1d387fcbd16df8bad75dbbdf152f1d6614037fa87fbdf67cfde1f2149321c33a,
40,substrate,PASS,run,0,0.208937,b12dd83a0b14307ec17de80f1286391c85bdae6904536a556a4e35d9445e7eb4,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/substrate__demo-40-universe-from-zero.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/substrate__demo-40-universe-from-zero.err.txt,8651ff96e42b3ce172801d79a68a174927053966ca080b49e284c350a8733aeb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
51,general_relativity,PASS,run,0,0.09647,f0912b3074c3de95e9b8e78cbc92dd5a1c576a65b31587889009bdbfd838e870,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/general_relativity__demo-51-qft-gr-vacuum-suppression.err.txt,2be97822fb0778724decef3f82adaff04ad16a716c81e5fbd891b7da7df0f5ce,35c80af9739e17ee611fa001036951b10126d268e2e8c09073659a1536a2a96b,
53,foundations,PASS,run,0,0.532157,3bb3ee1797bb7e46bbd488f7c27a631b6677a28d6b026623bd9fcb76bd04b45d,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/foundations__demo-53-lawbook-emergence.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/foundations__demo-53-lawbook-emergence.err.txt,6734da516df09d588bd58935c093ecba9d8b22fde4d3bd5b752a2410749171e6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
54,standard_model,PASS,run,0,3.216682,c43a2a3b36de4d68a45882247387ca0746ecb1ebc27a486d1dd359b95820ee65,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-54-master-flagship-demo.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-54-master-flagship-demo.err.txt,9d6ca87020f1545156065507fe7c035f66d15ab3c393816bccc2f96f964316cf,895fd24a412edb6859f1ef50adcb189acc1efbc15057b2383c6dddae5d8ae2ac,
55,standard_model,PASS,run,0,0.055362,d614263c9bf5aa4aba59c632765808ae521f5834390a1b6dc9cfb2ce712a3a49,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-55-proton-charge-radius.out.txt,audits/_outroot_tmp/GUM_BUNDLE_v30_20260121T033604Z/logs/standard_model__demo-55-proton-charge-radius.err.txt,9e2bbc3f10a82c44d3e815705fa02920522a723d9353d39d3d59c6d8f2beb5dc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
